iati_identifier,lat,long,code,level,vocabulary,name
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2019/92031,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2019/92033,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2019/92002,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2019/92032,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2019/92003,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2019/92004,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2019/92025,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2019/92034,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2019/92020,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2019/92035,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2017/92000,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2017/92000,7.369722,12.354722,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2017/92000,6.611111,20.939444,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2017/92012,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2017/92008,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2017/92027,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2017/92015,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2017/92030,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2017/92046,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2017/92033,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2017/92006,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2017/92026,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2017/92023,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2017/92029,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2017/92036,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2017/92034,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2017/92047,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2017/92010,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2017/92032,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2017/92035,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2017/92022,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2017/92040,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2017/92028,15.454166,18.732207,,,,
