iati_identifier,source,adm1,lat,long
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2016/92014,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2016/92018,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2016/92043,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2016/92026,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2016/92031,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2016/92001,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2016/92033,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2021/92000,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2021/91000,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2021/92011,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2021/92008,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2021/92005,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2021/92106,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2021/92120,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2021/92040,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2021/92007,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2021/92009,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2021/92024,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2021/92001,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2021/92025,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2021/92004,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2021/92006,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2021/92015,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2021/92002,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2021/92046,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2021/92019,point/pos,Borkou,15.454166,18.732207
44000-P072030,point/pos,Ouaddaï,13.829,20.832
44000-P072030,point/pos,N'Djamena,12.107,15.044
44000-P072030,point/pos,Logone Oriental,8.567,16.083
44000-P072030,point/pos,Logone Oriental,8.65,16.85
44000-P072030,point/pos,Moyen-Chari,9.143,18.392
44000-P090265,point/pos,N'Djamena,12.117,15.067
44000-P113030,point/pos,Salamat,11,20.5
44000-P113030,point/pos,Ouaddaï,13.5,21.25
44000-P113030,point/pos,Wadi Fira,15,21.5
44000-P113030,point/pos,Tandjilé,9.5,16.5
44000-P113030,point/pos,Moyen-Chari,9.333,18.5
44000-P113030,point/pos,Mayo-Kebbi Est,10,15.83
44000-P113030,point/pos,Logone Oriental,8.25,16.42
44000-P113030,point/pos,Logone Occidental,8.753,15.872
44000-P113030,point/pos,Lac,13.5,14.5
44000-P113030,point/pos,Kanem,15,15
44000-P113030,point/pos,Guéra,11.5,18.5
44000-P113030,point/pos,Chari-Baguirmi,11.34,16.25
44000-P113030,point/pos,Batha,14,19
44000-P113030,point/pos,Borkou,18.25,18.5
44000-P113030,point/pos,Hadjer-Lamis,12.667,16.167
44000-P113030,point/pos,Mandoul,8.329,17.916
44000-P113030,point/pos,Mayo-Kebbi Ouest,9.33,14.75
44000-P113030,point/pos,Ennedi Ouest,18.167,22.167
44000-P113030,point/pos,Tibesti,20.333,16.667
44000-P113030,point/pos,Barh-El-Gazel,14.527,16.975
44000-P113030,point/pos,Sila,12.183,21.35
44000-P126576,point/pos,Ouaddaï,13.829,20.832
44000-P126576,point/pos,Ouaddaï,12.8,21.3
44000-P126576,point/pos,Mandoul,8.571,17.274
44000-P126576,point/pos,Moyen-Chari,9.143,18.392
44000-P126576,point/pos,Guéra,12.547,19.706
44000-P126576,point/pos,Batha,13.295,19.697
44000-P126576,point/pos,Moyen-Chari,8.691,18.586
44000-P126576,point/pos,Guéra,10.15,19.148
44000-P126576,point/pos,Mandoul,8.681,17.683
44000-P126576,point/pos,Moyen-Chari,8.412,18.771
44000-P126576,point/pos,Mandoul,9.313,17.736
44000-P126576,point/pos,Guéra,12.355,19.614
44000-P126576,point/pos,Moyen-Chari,9.451,18.945
44000-P126576,point/pos,Guéra,10.379,18.881
44000-P126576,point/pos,Moyen-Chari,9.265,18.316
44000-P126576,point/pos,Mayo-Kebbi Est,9.756,15.604
44000-P126576,point/pos,Mandoul,8.54,17.541
44000-P126576,point/pos,Mandoul,8.508,17.525
44000-P126576,point/pos,Moyen-Chari,9.489,19.032
44000-P126576,point/pos,Moyen-Chari,9.772,18.693
44000-P126576,point/pos,Moyen-Chari,9.133,18.346
44000-P126576,point/pos,Moyen-Chari,9.709,18.5
44000-P126576,point/pos,Mandoul,8.811,17.589
44000-P126576,point/pos,Moyen-Chari,9.631,18.62
44000-P126576,point/pos,Moyen-Chari,9.483,19.249
44000-P126576,point/pos,Mandoul,8.34,17.766
44000-P126576,point/pos,Guéra,12.184,18.693
44000-P126576,point/pos,Mandoul,8.838,17.671
44000-P126576,point/pos,Mandoul,8.728,17.808
44000-P126576,point/pos,Moyen-Chari,8.863,18.167
44000-P126576,point/pos,Moyen-Chari,8.833,18.45
44000-P126576,point/pos,Moyen-Chari,9.841,19.473
44000-P126576,point/pos,Ouaddaï,13.467,22.2
44000-P126576,point/pos,Salamat,11.03,20.283
44000-P126576,point/pos,Ouaddaï,13.95,20.55
44000-P126576,point/pos,Salamat,9.917,20.8
44000-P126576,point/pos,Ouaddaï,12.933,21.483
44000-P126576,point/pos,Mandoul,8.475,17.274
44000-P126576,point/pos,Mandoul,8.797,17.268
44000-P126576,point/pos,Mandoul,8.633,17.083
44000-P126576,point/pos,Mandoul,8.629,17.186
44000-P126576,point/pos,Mandoul,8.71,17.388
44000-P126576,point/pos,Moyen-Chari,8.517,18.415
44000-P126576,point/pos,Mandoul,8.43,17.572
44000-P126576,point/pos,Moyen-Chari,9.469,18.385
44000-P126576,point/pos,Moyen-Chari,8.675,18.584
44000-P126576,point/pos,Salamat,11.448,19.279
44000-P126576,point/pos,Moyen-Chari,9.795,18.881
44000-P132617,point/pos,Salamat,11,20.5
44000-P132617,point/pos,Ouaddaï,13.5,21.25
44000-P132617,point/pos,Wadi Fira,15,21.5
44000-P132617,point/pos,Tandjilé,9.5,16.5
44000-P132617,point/pos,Moyen-Chari,9.333,18.5
44000-P132617,point/pos,Mayo-Kebbi Est,10,15.83
44000-P132617,point/pos,Logone Oriental,8.25,16.42
44000-P132617,point/pos,Logone Occidental,8.753,15.872
44000-P132617,point/pos,Lac,13.5,14.5
44000-P132617,point/pos,Kanem,15,15
44000-P132617,point/pos,Guéra,11.5,18.5
44000-P132617,point/pos,Chari-Baguirmi,11.34,16.25
44000-P132617,point/pos,Batha,14,19
44000-P132617,point/pos,Barh-El-Gazel,14.527,16.975
44000-P132617,point/pos,Borkou,18.25,18.5
44000-P132617,point/pos,Hadjer-Lamis,12.667,16.167
44000-P132617,point/pos,Mandoul,8.329,17.916
44000-P132617,point/pos,Mayo-Kebbi Ouest,9.33,14.75
44000-P132617,point/pos,N'Djamena,12.117,15.067
44000-P132617,point/pos,Sila,12.25,21.5
44000-P132617,point/pos,Tibesti,20.333,16.667
44000-P132617,point/pos,Ennedi Ouest,18.4,21.4
44000-P133021,point/pos,N'Djamena,12.117,15.067
44000-P148052,point/pos,Tandjilé,9.5,16.5
44000-P148052,point/pos,Logone Oriental,8.25,16.42
44000-P148052,point/pos,Guéra,11.5,18.5
44000-P148052,point/pos,Batha,14,19
44000-P148052,point/pos,Mandoul,8.329,17.916
44000-P151215,point/pos,Salamat,11.03,20.283
44000-P151215,point/pos,Mandoul,8.34,17.766
44000-P151215,point/pos,Logone Oriental,8.627,16.579
44000-P151215,point/pos,Logone Occidental,8.746,16.485
44000-P155480,point/pos,N'Djamena,12.1067,15.0444
44000-P156479,point/pos,Logone Occidental,8.753,15.872
44000-P156479,point/pos,N'Djamena,12.117,15.067
44000-P156479,point/pos,Barh-El-Gazel,14.667,16.917
44000-P159434,point/pos,N'Djamena,12.107,15.044
44000-P159434,point/pos,Batha,15,19
44000-P162956,point/pos,Salamat,11,20.5
44000-P162956,point/pos,Moyen-Chari,9.333,18.5
44000-P162956,point/pos,Mandoul,8.633,17.083
44000-P162956,point/pos,Moyen-Chari,9.133,18.346
44000-P162956,point/pos,Mandoul,8.329,17.916
44000-P162956,point/pos,Moyen-Chari,9.146,18.39
44000-P162956,point/pos,Mandoul,8.913,17.554
44000-P163424,point/pos,N'Djamena,12.1067,15.0444
44000-P163968,point/pos,N'Djamena,12.1067,15.0444
44000-P164297,point/pos,Salamat,11,20.5
44000-P164297,point/pos,Moyen-Chari,9.333,18.5
44000-P164297,point/pos,Chari-Baguirmi,11.723,15.239
44000-P164297,point/pos,Mandoul,8.329,17.916
44000-P164297,point/pos,Moyen-Chari,9.146,18.39
44000-P164529,point/pos,N'Djamena,12.107,15.044
44000-P164529,point/pos,Batha,15,19
44000-P164747,point/pos,Mandoul,8.705,17.81
44000-P164747,point/pos,Mandoul,8.409,17.52
44000-P164747,point/pos,Mandoul,8.432,17.799
44000-P164747,point/pos,Moyen-Chari,9.311,18.229
44000-P164747,point/pos,Mandoul,8.4,17.767
44000-P164747,point/pos,Mandoul,8.728,17.808
44000-P164747,point/pos,Mandoul,8.518,17.84
44000-P164747,point/pos,Mandoul,8.67,17.822
44000-P164747,point/pos,Moyen-Chari,9.333,18.5
44000-P164747,point/pos,Mandoul,8.34,17.766
44000-P164747,point/pos,Guéra,11.303,18.476
44000-P164747,point/pos,Mandoul,8.852,17.848
44000-P164747,point/pos,Mandoul,9.195,17.579
44000-P164747,point/pos,Mandoul,8.908,17.864
44000-P164747,point/pos,Mandoul,8.633,17.083
44000-P164747,point/pos,Mandoul,9.094,18.129
44000-P164747,point/pos,Mandoul,8.329,17.916
44000-P164747,point/pos,Mandoul,9.415,17.452
44000-P164747,point/pos,Mandoul,8.419,17.787
44000-P164747,point/pos,Chari-Baguirmi,12.193,15.442
44000-P164747,point/pos,Mandoul,8.381,17.496
44000-P164747,point/pos,Mandoul,8.352,17.768
44000-P164747,point/pos,Moyen-Chari,8.431,18.843
44000-P164748,point/pos,Ouaddaï,13.53,21.056
44000-P164748,point/pos,Ouaddaï,13.323,22.111
44000-P164748,point/pos,Logone Oriental,8.25,16.42
44000-P164748,point/pos,Lac,13.5,14.5
44000-P164748,point/pos,Chari-Baguirmi,10.508,16.672
44000-P164748,point/pos,Logone Oriental,8.67,16.885
44000-P171611,point/pos,Wadi Fira,15,21.5
44000-P171611,point/pos,Wadi Fira,15.017,20.667
44000-P171611,point/pos,Guéra,10.838,19.656
44000-P171611,point/pos,Barh-El-Gazel,14.844,17.225
44000-P171611,point/pos,Batha,14.018,18.001
44000-P171611,point/pos,Borkou,15.753,18.302
44000-P171611,point/pos,Batha,13.519,18.581
44000-P171611,point/pos,Batha,15,19
44000-P171611,point/pos,Batha,14,19
44000-P171611,point/pos,Barh-El-Gazel,14.527,16.975
44000-P171611,point/pos,Borkou,15.895,19.509
44000-P171611,point/pos,Borkou,18.25,18.5
44000-P171611,point/pos,Ennedi Ouest,18.167,22.167
44000-P171611,point/pos,Ennedi Ouest,18.4,21.4
44000-P172255,point/pos,Ouaddaï,13.5,21.25
44000-P172255,point/pos,Wadi Fira,14.602,21.91
44000-P172255,point/pos,Ennedi Ouest,17.25,22
44000-P172255,point/pos,Ouaddaï,13.323,22.111
44000-P172255,point/pos,Wadi Fira,15,21.5
44000-P172255,point/pos,Moyen-Chari,9.333,18.5
44000-P172255,point/pos,Mandoul,8.34,17.766
44000-P172255,point/pos,Logone Oriental,8.25,16.42
44000-P172255,point/pos,Batha,15,19
44000-P172255,point/pos,Logone Oriental,8.156,16.429
44000-P172255,point/pos,Mandoul,8.329,17.916
44000-P172255,point/pos,Ennedi Est,15.712,23.05
44000-P172255,point/pos,Lac,13.239,15.479
44000-P172255,point/pos,Wadi Fira,14.461,21.94
44000-P173894,point/pos,Batha,15,19
44000-P174600,point/pos,Moyen-Chari,9.333,18.5
44000-P174600,point/pos,Batha,15,19
44000-P174600,point/pos,Mandoul,8.329,17.916
XM-DAC-41121-2017-AFR-TCD,point/pos,Sila,12.0045,21.7029
XM-DAC-41121-2017-AFR-TCD,point/pos,Logone Oriental,7.9342,16.6394
XM-DAC-41121-2017-AFR-TCD,point/pos,Wadi Fira,14.5125,22.0884
XM-DAC-41121-2017-AFR-TCD,point/pos,Sila,12.2199,21.4215
XM-DAC-41121-2017-AFR-TCD,point/pos,Salamat,10.0022,20.9674
XM-DAC-41121-2017-AFR-TCD,point/pos,Moyen-Chari,8.4222,18.7894
XM-DAC-41121-2017-AFR-TCD,point/pos,Wadi Fira,15.1255,22.2542
XM-DAC-41121-2017-AFR-TCD,point/pos,N'Djamena,12.0924,15.0588
XM-DAC-41121-2017-AFR-TCD,point/pos,Ouaddaï,13.5929,21.8208
XM-DAC-41121-2017-AFR-TCD,point/pos,Ouaddaï,13.4407,21.6642
XM-DAC-41121-2017-AFR-TCD,point/pos,Lac,13.5381,14.312
XM-DAC-41121-2017-AFR-TCD,point/pos,Ennedi Est,16.0735,22.842
